gender,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
male,22,1,0,7.25,S,Third,man,TRUE,,Southampton,no,FALSE
female,38,1,0,71.2833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE
female,26,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE
female,35,1,0,53.1,S,First,woman,FALSE,C,Southampton,yes,FALSE
male,35,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
male,,0,0,8.4583,Q,Third,man,TRUE,,Queenstown,no,TRUE
male,54,0,0,51.8625,S,First,man,TRUE,E,Southampton,no,TRUE
male,2,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE
female,27,0,2,11.1333,S,Third,woman,FALSE,,Southampton,yes,FALSE
female,14,1,0,30.0708,C,Second,child,FALSE,,Cherbourg,yes,FALSE
female,4,1,1,16.7,S,Third,child,FALSE,G,Southampton,yes,FALSE
female,58,0,0,26.55,S,First,woman,FALSE,C,Southampton,yes,TRUE
male,20,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE
male,39,1,5,31.275,S,Third,man,TRUE,,Southampton,no,FALSE
female,14,0,0,7.8542,S,Third,child,FALSE,,Southampton,no,TRUE
female,55,0,0,16,S,Second,woman,FALSE,,Southampton,yes,TRUE
male,2,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE
male,,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE
female,31,1,0,18,S,Third,woman,FALSE,,Southampton,no,FALSE
female,,0,0,7.225,C,Third,woman,FALSE,,Cherbourg,yes,TRUE
male,35,0,0,26,S,Second,man,TRUE,,Southampton,no,TRUE
male,34,0,0,13,S,Second,man,TRUE,D,Southampton,yes,TRUE
female,15,0,0,8.0292,Q,Third,child,FALSE,,Queenstown,yes,TRUE
male,28,0,0,35.5,S,First,man,TRUE,A,Southampton,yes,TRUE
female,8,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE
